ID,Street,HouseNumber,Box,Floor,City,PostalCode,Region,District,Province,PropertyType,PropertySubType,Price,SaleType,ConstructionYear,BedroomCount,LivingArea,KitchenType,Furnished,Fireplace,Terrace,TerraceArea,Garden,GardenArea,Facades,SwimmingPool,Condition,EPCScore,Latitude,Longitude,PropertyUrl,Property url
11035880,Place Capitaine Mostenne,45,,,On,6900,WALLONIE,Marche-en-Famenne,Luxembourg,HOUSE,HOUSE,210000,residential_sale,1850.0,3,172.0,SEMI_EQUIPPED,0.0,0,1.0,,1.0,1397.0,3.0,0.0,TO_BE_DONE_UP,G,50.1714031,5.2855385,,https://www.immoweb.be/en/classified/house/for-sale/on/6900/11035880
11150716,Vergoeienveld,3,,,Overijse,3090,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,VILLA,849000,residential_sale,1990.0,4,334.0,USA_INSTALLED,,1,1.0,35.0,1.0,875.0,4.0,0.0,AS_NEW,C,50.7637055,4.5363566,,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/11150716
11156771,Avenue des Combattants,168,,,Genappe Bousval,1470,WALLONIE,Nivelles,Walloon Brabant,HOUSE,HOUSE,395000,residential_sale,2014.0,4,194.0,,0.0,0,1.0,46.0,1.0,306.0,3.0,0.0,AS_NEW,B,50.6182024,4.5156891,,https://www.immoweb.be/en/classified/house/for-sale/genappe-bousval/1470/11156771
11113337,Obberg,103,,,Wemmel,1780,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,EXCEPTIONAL_PROPERTY,1990000,residential_sale,1988.0,5,487.0,HYPER_EQUIPPED,0.0,0,1.0,,,4692.0,4.0,0.0,GOOD,B,50.9004583,4.3000102,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/wemmel/1780/11113337
11099422,Obberg,103,,,Wemmel,1780,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,EXCEPTIONAL_PROPERTY,1990000,residential_sale,1988.0,5,487.0,HYPER_EQUIPPED,0.0,0,1.0,,,4692.0,4.0,0.0,GOOD,B,50.9004583,4.3000102,,https://www.immoweb.be/en/classified/exceptional-property/for-sale/wemmel/1780/11099422
11150716,Vergoeienveld,3,,,Overijse,3090,FLANDERS,Halle-Vilvoorde,Flemish Brabant,HOUSE,VILLA,849000,residential_sale,1990.0,4,334.0,USA_INSTALLED,,1,1.0,35.0,1.0,875.0,4.0,0.0,AS_NEW,C,50.7637055,4.5363566,,https://www.immoweb.be/en/classified/villa/for-sale/overijse/3090/11150716
11103493,Muisstraat,57,,,Haaltert,9450,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,359000,residential_sale,1953.0,3,288.0,SEMI_EQUIPPED,,0,1.0,,,2798.0,3.0,0.0,TO_RENOVATE,F,50.9050743,4.007974,,https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/11103493
11103448,Muisstraat,57,,,Haaltert,9450,FLANDERS,Aalst,East Flanders,HOUSE,HOUSE,359000,residential_sale,1953.0,3,288.0,SEMI_EQUIPPED,,0,1.0,,,2798.0,3.0,0.0,TO_RENOVATE,F,50.9050743,4.007974,,https://www.immoweb.be/en/classified/house/for-sale/haaltert/9450/11103448
11159158,Hollebeekstraat,11,,,Brakel,9660,FLANDERS,Oudenaarde,East Flanders,HOUSE,HOUSE,389000,residential_sale,2022.0,3,148.0,USA_HYPER_EQUIPPED,0.0,0,1.0,20.0,1.0,214.0,2.0,0.0,,A,50.7854956,3.7982763,,https://www.immoweb.be/en/classified/house/for-sale/brakel/9660/11159158
11148073,Molenstraatje,23,,,Wetteren,9230,FLANDERS,Dendermonde,East Flanders,HOUSE,HOUSE,275000,residential_sale,1966.0,3,134.0,SEMI_EQUIPPED,,1,1.0,,1.0,480.0,3.0,,TO_BE_DONE_UP,F,51.010192,3.8805211,,https://www.immoweb.be/en/classified/house/for-sale/wetteren/9230/11148073
