,CD_REFNIS,TOTAL,OPPERVLAKKTE IN HM²,PostalCode,Area in km²,PopulationDensity
0,11001,14752,1101.9131636539,2630,11.019131636539,1338.76
1,11002,538910,20431.98312727733,"2000,2018,2020,2030,2040,2050,2060,2100,2140,2170,2180,2600,2610,2660",204.3198312727733,2637.58
2,11004,13806,2070.8315231578,"2530,2531",20.708315231578,666.69
3,11005,19062,738.17352854342,2850,7.381735285434201,2582.32
4,11007,11309,390.136906125,2150,3.90136906125,2898.73
5,11008,38575,3858.0604947696997,2930,38.580604947697,999.85
6,11009,30387,9146.5881015059,2960,91.46588101505901,332.22
7,11013,22761,871.7435113123,2650,8.717435113123,2610.97
8,11016,19629,4757.0558164229,2910,47.570558164229,412.63
9,11018,12105,548.05285934368,2620,5.4805285934368,2208.73
10,11021,8444,601.8094873358,2540,6.018094873358,1403.1
11,11022,19422,5941.009924885,2920,59.41009924885,326.91
12,11023,27743,3722.3219801843,2950,37.223219801843,745.31
13,11024,21624,2380.0905634069,2550,23.800905634069,908.54
14,11025,8548,565.0724372742,2547,5.650724372741999,1512.73
15,11029,26391,778.44628824161,2640,7.7844628824161,3390.21
16,11030,10799,534.6498761784001,2845,5.346498761784001,2019.83
17,11035,19609,4367.3913124837,2520,43.673913124837,448.99
18,11037,15417,2015.0709801957,2840,20.150709801957,765.08
19,11038,8662,782.56613261526,2627,7.8256613261526,1106.87
20,11039,20293,3608.9809752616998,2970,36.089809752617,562.29
21,11040,34360,2951.0707482673,2900,29.510707482673002,1164.32
22,11044,18837,2142.2534407989997,2940,21.422534407989996,879.31
23,11050,10432,788.3709488067,2110,7.883709488067,1323.23
24,11052,13230,1299.3836262657,2160,12.993836262657,1018.18
25,11053,21644,8941.2333018229,2990,89.412333018229,242.07
26,11054,13352,4009.9120841373,"2240,2242,2243",40.099120841373,332.97
27,11055,22427,3868.5613283487,2980,38.685613283487,579.72
28,11056,19547,2024.5272194807,2070,20.245272194807,965.51
29,11057,16007,5190.2525517072,2390,51.902525517072,308.41
30,12002,11949,2452.6268765128,2590,24.526268765128002,487.19
31,12005,15458,2919.1355815498,2820,29.191355815498,529.54
32,12007,21982,4618.7662856754,2880,46.187662856753995,475.93
33,12009,17982,2259.8643046168,2570,22.598643046168,795.71
34,12014,44226,8667.365099557499,"2220,2221,2222,2223",86.67365099557499,510.26
35,12021,37909,4985.38920820795,2500,49.853892082079504,760.4
36,12025,88614,6578.819204233259,"2800,2801,2811,2812",65.7881920423326,1346.96
37,12026,23409,3919.5984368362,2560,39.195984368362005,597.23
38,12029,18631,3515.8731250777,2580,35.158731250777,529.91
39,12035,21595,3615.6078512953,"2860,2861",36.156078512953,597.27
40,12040,27773,2736.6185965219897,2830,27.3661859652199,1014.87
41,12041,26772,4913.83712874984,"2870,2890",49.1383712874984,544.83
42,13001,13344,5515.247253227701,2370,55.15247253227701,241.95
43,13002,3012,741.4351381039,2387,7.414351381039,406.24
44,13003,23308,7298.8237577038,"2490,2491",72.988237577038,319.34
45,13004,18416,3736.0346067933,2340,37.360346067933,492.93
46,13006,9805,2744.7234174737,2480,27.447234174737,357.23
47,13008,41828,11019.5668622987,2440,110.195668622987,379.58
48,13010,11519,2836.9046213198,"2280,2288",28.369046213198,406.04
49,13011,28575,4794.8271503258,2200,47.948271503258006,595.95
50,13012,9417,2360.829499818,2270,23.60829499818,398.89
51,13013,14805,5237.2754461728,2230,52.372754461728,282.69
52,13014,22245,10539.6403674462,"2320,2321,2322,2323,2328",105.39640367446201,211.06
53,13016,10564,1737.8929832155,2235,17.378929832155,607.86
54,13017,19478,7227.0977437007,2460,72.270977437007,269.51
55,13019,16871,5962.0226102682,2275,59.620226102682004,282.97
56,13021,10348,3653.9906883311,2450,36.539906883311,283.2
57,13023,8799,4460.6715209227195,2330,44.6067152092272,197.26
58,13025,38159,11454.6676395598,2400,114.54667639559801,333.13
59,13029,12689,2312.4299676822,2250,23.124299676822,548.73
60,13031,14734,3917.0049596655,2360,39.170049596655,376.15
61,13035,15338,9513.5857710108,"2380,2381,2382",95.135857710108,161.22
