CD_REFNIS,CD_SECTOR,TOTAL,DT_STRT_SECTOR,DT_STOP_SECTOR,OPPERVLAKKTE IN HM²,TX_DESCR_SECTOR_NL,TX_DESCR_SECTOR_FR,TX_DESCR_NL,TX_DESCR_FR,TX_DESCR_SECTOR_NLL,TX_DESCR_SECTOR_FRR,SECTOR
11001,11001A00-,2489,1981-03-01,9999-12-31 00:00:00,53.1589560369,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,Aartselaar,Aartselaar,AARTSELAAR-CENTRUM,AARTSELAAR-CENTRUM,A00-
11001,11001A01-,2827,1981-03-01,9999-12-31 00:00:00,67.1157584725,DE LEEUWERIK,DE LEEUWERIK,Aartselaar,Aartselaar,DE LEEUWERIK,DE LEEUWERIK,A01-
11001,11001A020,761,1981-03-01,9999-12-31 00:00:00,28.0848157744,BUERSTEDE,BUERSTEDE,Aartselaar,Aartselaar,BUERSTEDE,BUERSTEDE,A020
11001,11001A030,466,1981-03-01,9999-12-31 00:00:00,42.8125404904,YSSELAAR,YSSELAAR,Aartselaar,Aartselaar,YSSELAAR,YSSELAAR,A030
11001,11001A042,363,1981-03-01,9999-12-31 00:00:00,25.5623657126,KLEINE GRIPPE,KLEINE GRIPPE,Aartselaar,Aartselaar,KLEINE GRIPPE,KLEINE GRIPPE,A042
11001,11001A052,2195,1981-03-01,9999-12-31 00:00:00,33.7269052141,LEUG,LEUG,Aartselaar,Aartselaar,LEUG,LEUG,A052
11001,11001A063,759,1981-03-01,9999-12-31 00:00:00,21.8269822629,TEN DORPE,TEN DORPE,Aartselaar,Aartselaar,TEN DORPE,TEN DORPE,A063
11001,11001A074,33,1981-03-01,9999-12-31 00:00:00,45.8359402828,BRUINEN BAARD,BRUINEN BAARD,Aartselaar,Aartselaar,BRUINEN BAARD,BRUINEN BAARD,A074
11001,11001A091,576,1981-03-01,9999-12-31 00:00:00,219.055100532,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,Aartselaar,Aartselaar,KLEISTRAAT - OEVER,KLEISTRAAT - OEVER,A091
11001,11001A0MA,64,2001-10-01,9999-12-31 00:00:00,20.5627457203,ZINKVAL,ZINKVAL,Aartselaar,Aartselaar,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,A0MA
11001,11001A0PA,125,2001-10-01,9999-12-31 00:00:00,171.253815364,CLEYDAEL-KASTEEL,CLEYDAEL-KASTEEL,Aartselaar,Aartselaar,ZINKVAL,ZINKVAL,A0PA
11001,11001A10-,805,1981-03-01,9999-12-31 00:00:00,36.4867703932,'T HEIKEN,'T HEIKEN,Aartselaar,Aartselaar,'T HEIKEN,'T HEIKEN,A10-
11001,11001A173,606,1981-03-01,9999-12-31 00:00:00,109.954475326,NOTELAAN,NOTELAAN,Aartselaar,Aartselaar,NOTELAAN,NOTELAAN,A173
11001,11001A190,361,1981-03-01,9999-12-31 00:00:00,132.182458403,DE REUKENS,DE REUKENS,Aartselaar,Aartselaar,DE REUKENS,DE REUKENS,A190
11001,11001A20-,987,1981-03-01,9999-12-31 00:00:00,43.2974262127,DE KOEKOEK,DE KOEKOEK,Aartselaar,Aartselaar,DE KOEKOEK,DE KOEKOEK,A20-
11001,11001A21-,1333,1981-03-01,9999-12-31 00:00:00,50.9961074561,VIERPALEN,VIERPALEN,Aartselaar,Aartselaar,VIERPALEN,VIERPALEN,A21-
