,CD_REFNIS,TOTAL,OPPERVLAKKTE IN HM²,PostalCode,Area in km²,PopulationDensity
1,11002,538910,20431.98312727733,"2000,2018,2020,2030,2040,2050,2060,2100,2140,2170,2180,2600,2610,2660",204.3198312727733,2637.58
34,12014,44226,8667.365099557499,"2220,2221,2222,2223",86.67365099557499,510.26
36,12025,88614,6578.819204233259,"2800,2801,2811,2812",65.7881920423326,1346.96
52,13014,22245,10539.6403674462,"2320,2321,2322,2323,2328",105.39640367446201,211.06
72,21004,194291,3308.69434422639,"1000,1020,1040,1050,1120,1130",33.0869434422639,5872.14
89,23003,26474,3040.184073049,"1650,1651,1652,1653,1654",30.401840730489997,870.8
91,23016,44650,4147.77837569431,"1700,1701,1702,1703",41.4777837569431,1076.48
94,23025,39368,3867.03178479542,"1850,1851,1852,1853",38.6703178479542,1018.04
107,23064,4567,3592.88251202216,"1670,1671,1673,1674",35.9288251202216,127.11
113,23096,23357,4322.92630696128,"1804,1980,1981,1982",43.2292630696128,540.31
138,24054,7970,4943.7690519097,"3470,3471,3472,3473",49.437690519096996,161.21
141,24062,103009,5750.91763239908,"3000,3001,3010,3012,3018",57.5091763239908,1791.18
143,24086,11545,3118.2904308411,"3050,3051,3052,3053,3054",31.182904308411,370.23
158,25031,15915,9035.10649849095,"1470,1471,1472,1473,1474,1476",90.3510649849095,176.15
165,25072,29018,6083.3177676947,"1400,1401,1402,1404",60.833177676947,477.01
176,25121,31526,3340.10034575833,"1340,1341,1342,1348",33.4010034575833,943.86
182,31005,119541,14098.99752618754,"8000,8200,8310,8380",140.9899752618754,847.87
195,33011,35387,13145.75335627384,"8900,8902,8904,8906,8908",131.4575335627384,269.19
200,33039,7958,9479.1562665979,"8950,8951,8952,8953,8954,8956,8958",94.791562665979,83.95
204,34003,10319,2211.88482550318,"8580,8581,8582,8583",22.1188482550318,466.53
207,34022,78944,8069.49767639247,"8500,8501,8510,8511",80.6949767639247,978.3
211,34040,39488,4450.0524248766,"8790,8791,8792,8793",44.500524248766,887.36
213,34042,25558,6361.13241842716,"8550,8551,8552,8553,8554",63.6113241842716,401.78
218,35011,19755,7903.98639626409,"8430,8431,8432,8433,8434",79.03986396264091,249.94
244,41002,90068,7865.71171917605,"9300,9308,9310,9320",78.6571171917605,1145.07
250,41048,40093,7311.97214546064,"9400,9401,9402,9403,9404,9406",73.11972145460639,548.32
268,43014,7041,7453.6349125147,"9980,9981,9982,9988",74.536349125147,94.46
274,44021,268122,15777.14946920609,"9000,9030,9031,9032,9040,9041,9042,9050,9051,9052",157.7714946920609,1699.43
286,44085,26979,8078.1161141387,"9920,9921,9930,9931,9932,9950",80.781161141387,333.98
296,45068,15952,7158.9747604686,"9750,9770,9771,9772",71.589747604686,222.83
304,51004,29946,12790.10032680504,"7800,7801,7802,7803,7804,7810,7811,7812,7822,7823",127.90100326805042,234.13
305,51008,14289,6226.5532992959,"7970,7971,7972,7973",62.265532992958995,229.48
307,51012,3823,2858.7174200532,"7940,7941,7942,7943",28.587174200532,133.73
314,51069,18865,7267.2648461809995,"7860,7861,7862,7863,7864,7866",72.67264846181,259.59
316,52011,203785,10294.93186631438,"6000,6001,6010,6020,6030,6031,6032,6040,6041,6042,6043,6044,6060,6061",102.9493186631438,1979.47
318,52015,31299,4452.58682701929,"6180,6181,6182,6183",44.525868270192895,702.94
320,52021,22832,5947.63530023453,"6220,6221,6222,6223,6224",59.476353002345306,383.88
333,53053,96465,14756.07481626222,"7000,7010,7011,7012,7020,7021,7022,7024,7030,7031,7032,7033,7034",147.56074816262222,653.73
336,53070,23665,7058.66565581451,"7330,7331,7332,7333,7334",70.5866565581451,335.26
342,55040,28741,11126.8598155408,"7060,7061,7062,7063",111.268598155408,258.3
348,56016,9716,19860.40815401582,"6460,6461,6462,6463,6464",198.60408154015818,48.92
353,56051,5296,8600.8781857173,"6590,6591,6592,6593,6594,6596",86.008781857173,61.58
354,56078,14922,7665.6382607266005,"6530,6531,6532,6533,6534,6536",76.65638260726601,194.66
357,57003,7639,3133.12737934477,"7640,7641,7642,7643",31.3312737934477,243.81
361,57064,17235,6100.26525428486,"7600,7601,7602,7603,7604,7608",61.0026525428486,282.53
363,57081,68710,21534.61128357472,"7500,7501,7502,7503,7504,7506,7520,7521,7522,7530,7531,7532,7533,7534,7536,7538,7540,7542,7543,7548",215.3461128357472,319.07
364,57093,8152,4654.62733635626,"7620,7621,7622,7623,7624",46.5462733635626,175.14
365,57094,14097,7446.38457954141,"7900,7901,7903,7904,7906",74.4638457954141,189.31
368,57097,18336,6134.0339232816095,"7780,7781,7782,7783,7784",61.3403392328161,298.92
370,58002,33649,6122.32191219947,"7130,7131,7133,7134",61.2232191219947,549.61
387,61079,4254,3731.7400540129,"4160,4161,4162,4163",37.317400540129,114.0
395,62022,20572,2545.7815174998,"4050,4051,4052,4053",25.457815174998,808.08
399,62038,16296,1368.3894783474,"4620,4621,4623,4624",13.683894783474,1190.89
401,62060,9740,3547.52404793371,"4450,4451,4452,4453,4458",35.4752404793371,274.56
402,62063,195346,6865.13112913437,"4000,4020,4030,4031,4032",68.6513112913437,2845.48
403,62079,25690,3609.02829337771,"4680,4681,4682,4683,4684",36.0902829337771,711.83
406,62099,17322,2719.3315493361,"4630,4631,4632,4633",27.193315493361002,636.99
421,63035,17842,5684.078289575889,"4650,4651,4652,4653,4654",56.84078289575889,313.89
431,63067,10035,14715.165871925221,"4780,4782,4783,4784",147.15165871925223,68.19
448,64029,3559,2360.2907921457,"4250,4252,4253,4254",23.602907921457,150.79
458,71004,47895,7856.2251983664,"3580,3581,3582,3583",78.562251983664,609.64
463,71022,80351,10268.9667565497,"3500,3501,3510,3511,3512",102.689667565497,782.46
492,73040,8726,3398.7009010662,"3720,3721,3722,3723,3724",33.987009010662,256.75
498,73109,4387,5060.8835787605,"3790,3791,3792,3793,3798",50.608835787605,86.68
507,82014,5292,16741.4313573564,"6660,6661,6662,6663,6666",167.414313573564,31.61
510,82037,5483,16535.67322239717,"6670,6671,6672,6673,6674",165.3567322239717,33.16
515,83031,4161,14852.96546051239,"6980,6982,6983,6984,6986",148.5296546051239,28.01
517,83040,5695,11311.46036498292,"6950,6951,6952,6953",113.1146036498292,50.35
522,84010,5400,14864.53211531097,"6830,6831,6832,6833,6834,6836,6838",148.6453211531097,36.33
528,84050,5515,11125.4518422825,"6850,6851,6852,6853,6856",111.254518422825,49.57
531,84075,3186,6786.57118111054,"6920,6921,6922,6924",67.8657118111054,46.95
533,85007,5274,11406.4211496716,"6810,6811,6812,6813",114.064211496716,46.24
534,85009,6063,7943.6275434092495,"6740,6741,6742,6743",79.4362754340925,76.33
535,85011,5838,14806.75808229506,"6820,6821,6823,6824",148.06758082295062,39.43
541,85046,8699,10351.62673892429,"6720,6721,6723,6724",103.5162673892429,84.04
544,91013,9460,17462.96975012319,"5570,5571,5572,5573,5574,5576",174.6296975012319,54.17
547,91034,13296,10004.88004308747,"5500,5501,5502,5503,5504",100.0488004308747,132.9
549,91059,7528,7659.87920609822,"5360,5361,5362,5363,5364",76.59879206098219,98.28
550,91064,5314,10473.33539104228,"5370,5372,5374,5376",104.73335391042279,50.74
551,91072,5116,12284.90541610073,"5560,5561,5562,5563,5564",122.8490541610073,41.64
552,91103,3277,6567.33570473797,"5520,5521,5522,5523,5524",65.67335704737971,49.9
556,91142,6168,5659.23438409757,"5540,5541,5542,5543,5544",56.5923438409757,108.99
559,92006,7321,7852.83622340323,"5330,5332,5333,5334,5336",78.5283622340323,93.23
564,92087,13465,11696.71878400799,"5640,5641,5644,5646",116.9671878400799,115.12
565,92094,113286,17592.99990017667,"5000,5001,5002,5003,5004,5020,5021,5022,5024,5100,5101",175.9299990017667,643.93
566,92097,5206,5667.58453218545,"5350,5351,5352,5353,5354",56.6758453218545,91.86
